,h_post,h_post_individualized
2715,0.9937501558720105,1.0
2390,0.0008297315273511141,0.0
2642,0.9867631523346716,1.0
3698,0.9810310214310968,1.0
2346,0.9937501558720105,1.0
3021,0.9990451660100438,1.0
2810,0.993313035106469,1.0
2373,0.993313035106469,1.0
3036,0.9141599915682969,1.0
3127,0.9990451660100438,1.0
3948,0.9937501558720105,1.0
3853,0.993313035106469,1.0
3592,0.45464019003384204,1.0
2961,0.9937501558720105,1.0
3681,0.9990451660100438,1.0
2422,0.9990451660100438,1.0
2787,0.993313035106469,1.0
3891,0.9990451660100438,1.0
2160,0.745500938350777,1.0
3103,0.9990451660100438,1.0
3998,0.993313035106469,1.0
3256,0.993313035106469,1.0
2109,0.6863220803989126,1.0
2675,0.9141599915682969,1.0
2404,0.993313035106469,1.0
2135,0.993313035106469,1.0
2143,0.5138190479857061,1.0
2450,0.993313035106469,1.0
3095,0.9141599915682969,1.0
2016,0.993313035106469,1.0
3227,0.745500938350777,1.0
3099,0.9937501558720105,1.0
2620,0.6863220803989126,1.0
3895,0.6863220803989126,1.0
2098,0.5138190479857061,1.0
3940,0.993313035106469,1.0
3589,0.9937501558720105,1.0
3651,0.0008297315273511141,0.0
2334,0.9990451660100438,1.0
2557,0.9937501558720105,1.0
2534,0.9937501558720105,1.0
3107,0.993313035106469,1.0
2499,0.9141599915682969,1.0
3619,0.993313035106469,1.0
3782,0.993313035106469,1.0
3361,0.9937501558720105,1.0
2462,0.993313035106469,1.0
2532,0.993313035106469,1.0
2550,0.9937501558720105,1.0
3647,0.993313035106469,1.0
3984,0.9990451660100438,1.0
3888,0.745500938350777,1.0
2864,0.745500938350777,1.0
3354,0.993313035106469,1.0
3389,0.9937501558720105,1.0
2879,0.993313035106469,1.0
3472,0.993313035106469,1.0
3382,0.993313035106469,1.0
3886,0.745500938350777,1.0
3180,0.5138190479857061,1.0
2250,0.993313035106469,1.0
2901,0.745500938350777,1.0
2966,0.6863220803989126,1.0
3991,0.9141599915682969,1.0
2573,0.9937501558720105,1.0
3505,0.5138190479857061,1.0
3406,0.9990451660100438,1.0
2781,0.9141599915682969,1.0
3453,0.9990451660100438,1.0
2187,0.9937501558720105,1.0
3720,0.9141599915682969,1.0
3508,0.9810310214310968,1.0
3744,0.6863220803989126,1.0
3664,0.993313035106469,1.0
2289,0.993313035106469,1.0
2831,0.993313035106469,1.0
3693,0.993313035106469,1.0
3883,0.9937501558720105,1.0
2477,0.9990451660100438,1.0
2727,0.993313035106469,1.0
2112,0.993313035106469,1.0
2793,0.993313035106469,1.0
3282,0.993313035106469,1.0
2410,0.0008297315273511141,0.0
2174,0.9141599915682969,1.0
3475,0.9990451660100438,1.0
2766,0.993313035106469,1.0
2621,0.9937501558720105,1.0
3326,0.993313035106469,1.0
2461,0.9990451660100438,1.0
2076,0.993313035106469,1.0
3058,0.6863220803989126,1.0
3301,0.45464019003384204,0.931986927986145
2252,0.993313035106469,1.0
2108,0.0008297315273511141,0.0
3837,0.9141599915682969,1.0
2261,0.9990451660100438,1.0
2500,0.2536309194272146,0.0
2370,0.9141599915682969,1.0
3087,0.745500938350777,1.0
3497,0.0008297315273511141,0.0
3813,0.9937501558720105,1.0
3104,0.6863220803989126,1.0
3034,0.9141599915682969,1.0
2282,0.9141599915682969,1.0
2006,0.6863220803989126,1.0
2546,0.6863220803989126,1.0
2068,0.5138190479857061,1.0
2413,0.993313035106469,1.0
2089,0.9937501558720105,1.0
3850,0.993313035106469,1.0
3271,0.9937501558720105,1.0
2943,0.993313035106469,1.0
2281,0.2536309194272146,0.0
2603,0.9990451660100438,1.0
2586,0.19445206147535044,0.0
3645,0.9990451660100438,1.0
2445,0.745500938350777,1.0
3136,0.993313035106469,1.0
2928,0.745500938350777,1.0
3565,0.9937501558720105,1.0
3284,0.5138190479857061,1.0
3144,0.9990451660100438,1.0
3197,0.9937501558720105,1.0
3380,0.6863220803989126,1.0
3799,0.745500938350777,1.0
2453,0.6863220803989126,1.0
3168,0.9990451660100438,1.0
2931,0.9937501558720105,1.0
2336,0.993313035106469,1.0
2964,0.993313035106469,1.0
2673,0.993313035106469,1.0
2882,0.993313035106469,1.0
3425,0.9990451660100438,1.0
2737,0.9937501558720105,1.0
2331,0.993313035106469,1.0
3378,0.19445206147535044,0.0
2300,0.993313035106469,1.0
3155,0.993313035106469,1.0
2757,0.5138190479857061,1.0
2045,0.993313035106469,1.0
2718,0.9141599915682969,1.0
3071,0.993313035106469,1.0
3312,0.993313035106469,1.0
3997,0.6863220803989126,1.0
3513,0.993313035106469,1.0
3708,0.993313035106469,1.0
3044,0.9867631523346716,1.0
3062,0.745500938350777,1.0
2269,0.9937501558720105,1.0
3974,0.993313035106469,1.0
3478,0.993313035106469,1.0
2592,0.9990451660100438,1.0
3557,0.9810310214310968,1.0
2920,0.6863220803989126,1.0
3424,0.9937501558720105,1.0
3957,0.993313035106469,1.0
2762,0.993313035106469,1.0
2496,0.9937501558720105,1.0
2359,0.993313035106469,1.0
3929,0.0008297315273511141,0.0
2168,0.9141599915682969,1.0
3512,0.745500938350777,1.0
3390,0.993313035106469,1.0
3710,0.993313035106469,1.0
2524,0.9990451660100438,1.0
3205,0.9937501558720105,1.0
3584,0.745500938350777,1.0
3147,0.993313035106469,1.0
2723,0.993313035106469,1.0
2279,0.9141599915682969,1.0
3835,0.9990451660100438,1.0
2523,0.745500938350777,1.0
3073,0.9990451660100438,1.0
2962,0.745500938350777,1.0
2215,0.993313035106469,1.0
3764,0.993313035106469,1.0
3097,0.993313035106469,1.0
3492,0.745500938350777,1.0
3753,0.9937501558720105,1.0
3847,0.19445206147535044,0.0
3363,0.9990451660100438,1.0
3395,0.0008297315273511141,0.0
3613,0.9937501558720105,1.0
3595,0.0008297315273511141,0.0
3080,0.9937501558720105,1.0
2046,0.9937501558720105,1.0
2465,0.993313035106469,1.0
3007,0.9990451660100438,1.0
2132,0.9990451660100438,1.0
3541,0.9937501558720105,1.0
2862,0.9990451660100438,1.0
2305,0.993313035106469,1.0
3421,0.993313035106469,1.0
2180,0.9990451660100438,1.0
2224,0.745500938350777,1.0
3522,0.5138190479857061,1.0
3161,0.993313035106469,1.0
2769,0.5138190479857061,1.0
2129,0.9990451660100438,1.0
